Billing Date,Variant,Economic Index,Industry Growth Rate (%),Seasonality Factor
21-10-2022 00:00,XXX17,53.69,3.32,Medium
21-10-2022 00:00,XXXV2,110.96,3.58,High
23-10-2022 00:00,XXXV2,100.27,5.82,Low
23-10-2022 00:00,XXX11,55.15,8.93,Low
24-10-2022 00:00,XXX15,77.86,9.04,Medium
25-10-2022 00:00,XXX11,140.83,-1.57,Low
25-10-2022 00:00,XXX17,73.96,5,Low
25-10-2022 00:00,XXXV2,64.49,3.24,High
25-10-2022 00:00,XXXV2,98.95,12.41,Medium
25-10-2022 00:00,XXXV2,148.57,7.63,Medium
25-10-2022 00:00,XXXV2,74.21,5.65,High
26-10-2022 00:00,XXXV4,117.21,-2.69,Low
26-10-2022 00:00,XXX11,126.16,7.11,Medium
26-10-2022 00:00,XXX15,73.76,-2.66,Low
26-10-2022 00:00,XXXV2,122.82,1.74,Medium
26-10-2022 00:00,XXXV1,86.78,-2.14,Medium
28-10-2022 00:00,XXX11,113.23,8.84,Medium
28-10-2022 00:00,XXXV2,113.35,-0.87,Medium
28-10-2022 00:00,XXX11,103.58,2.84,Low
28-10-2022 00:00,XXX12,59.03,12.91,Low
28-10-2022 00:00,XXX12,133.53,-0.91,Low
28-10-2022 00:00,XXXV1,82.08,5.16,Low
28-10-2022 00:00,XXX11,68.65,3.39,High
28-10-2022 00:00,XXX11,54.08,-4.64,Medium
28-10-2022 00:00,XXX11,109.09,10.86,Medium
28-10-2022 00:00,XXXV2,117.76,-3.62,Medium
29-10-2022 00:00,XXX13,51.66,4.49,High
29-10-2022 00:00,XXXV4,101.21,6.21,Low
29-10-2022 00:00,XXX18,72.65,7.57,Medium
29-10-2022 00:00,XXX15,114.52,8.77,Low
29-10-2022 00:00,XXX11,67.44,0.07,Low
29-10-2022 00:00,XXX17,119.09,-4.8,High
29-10-2022 00:00,XXX18,88.67,9.47,High
29-10-2022 00:00,XXXV4,143.67,5.71,Low
29-10-2022 00:00,XXXV3,63.75,11.72,Medium
29-10-2022 00:00,XXX18,84.11,11.43,Medium
29-10-2022 00:00,XXX18,61.35,11.87,High
29-10-2022 00:00,XXX18,142.47,4.7,High
29-10-2022 00:00,XXXV1,137.73,1.67,High
29-10-2022 00:00,XXXV1,75.79,10.83,High
29-10-2022 00:00,XXX11,116,4.03,High
29-10-2022 00:00,XXX13,131.72,-1.33,High
29-10-2022 00:00,XXX11,105.52,12.1,High
29-10-2022 00:00,XXXV2,102.97,12.65,Medium
29-10-2022 00:00,XXXV5,74.19,4.33,High
30-10-2022 00:00,XXXV3,59.31,-3.49,High
30-10-2022 00:00,XXX11,139.72,2.76,Medium
30-10-2022 00:00,XXXV3,140.04,11.07,Medium
30-10-2022 00:00,XXXV1,113.31,13.04,Low
30-10-2022 00:00,XXXV1,83.9,-0.93,High
30-10-2022 00:00,XXX13,84.92,-3.66,High
30-10-2022 00:00,XXX13,122.6,12.55,High
30-10-2022 00:00,XXX11,139.71,2.79,High
30-10-2022 00:00,XXX11,138.71,5.84,Low
30-10-2022 00:00,XXXV1,127.99,14.36,Medium
30-10-2022 00:00,XXX12,114.2,-3.67,Medium
30-10-2022 00:00,XXX12,58.41,7.97,High
30-10-2022 00:00,XXXV1,66.16,-3.52,High
30-10-2022 00:00,XXX11,139.86,2.51,High
30-10-2022 00:00,XXXV2,110.64,11.08,Low
30-10-2022 00:00,XXXV2,50.92,3.67,Low
30-10-2022 00:00,XXX18,60.15,14.94,Medium
30-10-2022 00:00,XXX18,116.35,6.18,High
30-10-2022 00:00,XXXV2,50.51,1.42,High
30-10-2022 00:00,XXX18,66.08,-0.6,High
30-10-2022 00:00,XXX18,104.87,2.01,High
30-10-2022 00:00,XXXV2,119.19,2.45,Low
30-10-2022 00:00,XXXV2,115.2,-3.63,Medium
30-10-2022 00:00,XXXV2,72.43,2.39,Medium
30-10-2022 00:00,XXXV2,121.22,4.28,Low
12-11-2022 00:00,XXXV1,73.72,9.45,High
15-11-2022 00:00,XXXV3,82.54,8.13,Medium
16-11-2022 00:00,XXX12,124.65,9.18,Medium
17-11-2022 00:00,XXX15,114.96,-4.83,Low
17-11-2022 00:00,XXXV2,134.92,-0.65,High
17-11-2022 00:00,XXXV2,115.76,8.23,Medium
17-11-2022 00:00,XXXV2,106.83,4.68,High
19-11-2022 00:00,XXX11,59.37,-4.89,Medium
24-11-2022 00:00,XXX12,86.77,11.09,Low
26-11-2022 00:00,XXX12,76.52,10.46,High
27-11-2022 00:00,XXXV4,74.4,5.97,Low
28-11-2022 00:00,XXXV2,147.3,-3.67,Medium
28-11-2022 00:00,XXXV1,89.31,10.33,Low
29-11-2022 00:00,XXXV2,139.2,6.67,Low
29-11-2022 00:00,XXXV2,113.11,10.64,Low
29-11-2022 00:00,XXX12,129.48,10.03,Medium
29-11-2022 00:00,XXX12,100.26,11.06,High
29-11-2022 00:00,XXX12,107.69,5.36,Low
29-11-2022 00:00,XXX12,99.25,-2.19,High
29-11-2022 00:00,XXXV1,69.52,8.42,Medium
29-11-2022 00:00,XXXV1,122.25,7.41,High
30-11-2022 00:00,XXXV2,78.08,9.85,Low
30-11-2022 00:00,XXXV2,52.43,-1.6,Low
30-11-2022 00:00,XXXV2,114.55,-1.1,Low
30-11-2022 00:00,XXX12,67.71,12.81,Low
30-11-2022 00:00,XXX12,144.05,10,Low
30-11-2022 00:00,XXX12,145.39,13.16,Low
30-11-2022 00:00,XXXV2,141.49,10.17,Medium
30-11-2022 00:00,XXXV2,87.02,6.94,Medium
30-11-2022 00:00,XXXV2,51.55,8.08,Medium
30-11-2022 00:00,XXX12,142.83,12.78,High
30-11-2022 00:00,XXX11,92.82,6.58,High
30-11-2022 00:00,XXX13,146.67,7.65,Medium
30-11-2022 00:00,XXX13,146.36,-1.87,High
30-11-2022 00:00,XXX11,135.3,4.48,High
30-11-2022 00:00,XXX11,79.44,9.33,Low
30-11-2022 00:00,XXX12,88.51,0.42,Low
30-11-2022 00:00,XXX12,135.11,-0.95,High
30-11-2022 00:00,XXXV2,81.69,1.28,High
30-11-2022 00:00,XXXV2,66.95,-0.17,Medium
30-11-2022 00:00,XXXV2,105.68,-0.7,High
30-11-2022 00:00,XXXV2,143.62,3.5,Low
30-11-2022 00:00,XXX12,119.6,13.16,High
30-11-2022 00:00,XXX12,107.01,5.14,Medium
30-11-2022 00:00,XXXV4,59.72,-1.24,Low
30-11-2022 00:00,XXXV1,111.5,-3.46,Low
30-11-2022 00:00,XXXV2,149.01,8.92,Low
03-12-2022 00:00,XXX11,64.01,2.66,Low
05-12-2022 00:00,XXXV1,101.83,11.44,High
06-12-2022 00:00,XXXV2,137.74,8.19,Medium
11-12-2022 00:00,XXXV2,124.08,10.92,High
14-12-2022 00:00,XXXV2,119.7,0.44,High
21-12-2022 00:00,XXX11,120.25,8.85,Low
21-12-2022 00:00,XXX11,85.95,0.28,Medium
28-12-2022 00:00,XXX12,79.36,13.78,Low
29-12-2022 00:00,XXX11,130.94,7.73,High
29-12-2022 00:00,XXX15,131.01,1.49,High
29-12-2022 00:00,XXX11,136.71,0.39,Low
29-12-2022 00:00,XXX11,141.32,-1.18,High
29-12-2022 00:00,XXX11,101.13,8.89,High
29-12-2022 00:00,XXX12,100.15,-0.63,Low
30-12-2022 00:00,XXX12,129.83,6.91,High
30-12-2022 00:00,XXXV1,115,0.29,Medium
30-12-2022 00:00,XXXV2,120.2,8.24,Low
30-12-2022 00:00,XXX18,129.58,11.3,Medium
30-12-2022 00:00,XXXV2,139,10.56,High
30-12-2022 00:00,XXXV2,83.8,10.22,High
30-12-2022 00:00,XXX11,87.56,-1.25,Low
30-12-2022 00:00,XXXV4,59.4,-3.23,High
30-12-2022 00:00,XXX11,107.83,8.98,Low
30-12-2022 00:00,XXX11,53.59,2.37,Low
30-12-2022 00:00,XXXV3,96.56,3.65,Low
30-12-2022 00:00,XXXV2,104.26,-4.38,Low
30-12-2022 00:00,XXX18,78.65,0.19,Low
30-12-2022 00:00,XXX13,109.08,-4.33,Medium
30-12-2022 00:00,XXX13,53.05,12.58,Low
30-12-2022 00:00,XXXV1,53.73,-0.13,Medium
30-12-2022 00:00,XXX15,132.26,6.15,High
30-12-2022 00:00,XXXV2,86.02,-4.22,Low
30-12-2022 00:00,XXXV2,62.71,8.34,High
30-12-2022 00:00,XXXV2,102.22,1.46,Low
30-12-2022 00:00,XXX12,127,12.96,Medium
30-12-2022 00:00,XXX12,71.58,12.76,Medium
30-12-2022 00:00,XXXV2,112.29,1.51,Medium
30-12-2022 00:00,XXXV3,58.53,13.02,High
30-12-2022 00:00,XXX11,55.17,14.92,Low
31-12-2022 00:00,XXXV2,103.14,11.51,High
31-12-2022 00:00,XXXV2,104.06,11.9,Medium
31-12-2022 00:00,XXXV2,113.74,-0.02,High
31-12-2022 00:00,XXX13,122.61,6.53,Medium
31-12-2022 00:00,XXX12,147.59,-3.65,Medium
05-01-2023 00:00,XXX12,101.63,-3.1,Medium
06-01-2023 00:00,XXX12,82.3,14.98,Low
07-01-2023 00:00,XXX11,129.52,1.53,Low
08-01-2023 00:00,XXXV2,77.08,9.96,Medium
08-01-2023 00:00,XXX11,93.9,11.13,High
09-01-2023 00:00,XXXV2,57.85,12.16,High
13-01-2023 00:00,XXXV9,52.54,14.95,Low
13-01-2023 00:00,XXXV1,146.26,-0.17,Medium
14-01-2023 00:00,XXXV1,133.6,-4.19,High
15-01-2023 00:00,XXX15,119.6,3.22,Medium
15-01-2023 00:00,XXX15,90.9,-2.4,High
17-01-2023 00:00,XXXV2,67.33,-4.55,Low
17-01-2023 00:00,XXXV3,65.64,2.21,Medium
17-01-2023 00:00,XXX12,75.02,10.67,Medium
18-01-2023 00:00,XXX11,104.92,6.32,High
18-01-2023 00:00,XXXV1,121.46,1.26,High
21-01-2023 00:00,XXXV1,116.02,8.09,High
21-01-2023 00:00,XXXV1,77.99,-0.36,Medium
21-01-2023 00:00,XXXV2,145.49,-4.71,Low
21-01-2023 00:00,XXXV2,123.79,10.29,Low
22-01-2023 00:00,XXXV1,105.44,7.47,High
22-01-2023 00:00,XXXV2,111.17,10.25,Low
22-01-2023 00:00,XXXV3,91.96,-4.22,High
23-01-2023 00:00,XXXV2,74.77,11.74,Low
23-01-2023 00:00,XXX12,85.6,7.39,Medium
24-01-2023 00:00,XXX12,125.78,6.27,High
24-01-2023 00:00,XXX18,51.44,7.49,Low
24-01-2023 00:00,XXXV3,61.61,12.29,Medium
24-01-2023 00:00,XXX11,54.6,6.74,Low
25-01-2023 00:00,XXXV5,54.07,6.62,Medium
25-01-2023 00:00,XXXV5,135.55,14.81,Medium
25-01-2023 00:00,XXXV5,120.37,10.13,Low
25-01-2023 00:00,XXXV5,97.42,3.85,Low
25-01-2023 00:00,XXXV5,59.78,9.15,Medium
27-01-2023 00:00,XXXV4,99.16,2.78,Medium
27-01-2023 00:00,XXXV5,97.35,-0.42,Medium
27-01-2023 00:00,XXX13,67.32,6.94,High
27-01-2023 00:00,XXX13,93.39,13.56,Medium
27-01-2023 00:00,XXX13,89.85,13.58,High
27-01-2023 00:00,XXX13,111.59,1.84,Medium
27-01-2023 00:00,XXXV2,113.51,5.55,High
27-01-2023 00:00,XXX11,54.53,-0.77,Medium
27-01-2023 00:00,XXX18,87.46,14.91,Medium
27-01-2023 00:00,XXX18,112.59,14.62,Medium
28-01-2023 00:00,XXXV4,100.31,7.99,Low
28-01-2023 00:00,XXX12,135.65,11.09,Low
28-01-2023 00:00,XXX12,115.87,9.3,Medium
28-01-2023 00:00,XXXV9,66.29,6.86,High
28-01-2023 00:00,XXXV1,57.06,-3.93,High
28-01-2023 00:00,XXXV2,114.24,4.1,Medium
28-01-2023 00:00,XXXV2,52.65,8.5,Low
29-01-2023 00:00,XXXV3,108.58,8.55,High
29-01-2023 00:00,XXXV2,144.02,2.46,Low
29-01-2023 00:00,XXXV2,107.55,13.83,High
29-01-2023 00:00,XXX12,88.82,-1.65,Medium
29-01-2023 00:00,XXX13,114.33,5.01,Low
29-01-2023 00:00,XXXV2,95.83,8.82,High
29-01-2023 00:00,XXXV2,104.56,8.94,Medium
29-01-2023 00:00,XXXV2,144.15,7.97,Medium
29-01-2023 00:00,XXXV2,88.61,0.51,Medium
29-01-2023 00:00,XXXV2,146.12,-1.88,Low
29-01-2023 00:00,XXXV2,140.54,7.72,Low
29-01-2023 00:00,XXXV2,69.58,6.99,Medium
29-01-2023 00:00,XXXV2,56.94,-1.41,Low
29-01-2023 00:00,XXXV2,60.08,9.1,High
29-01-2023 00:00,XXX11,51.82,4.1,Medium
29-01-2023 00:00,XXXV1,59.44,8.36,Medium
29-01-2023 00:00,XXX11,118.3,11.75,Low
29-01-2023 00:00,XXX12,57.12,-1.61,Medium
29-01-2023 00:00,XXXV4,81.9,-4.62,High
29-01-2023 00:00,XXXV1,134.49,10.58,Low
29-01-2023 00:00,XXXV1,52.33,7.19,Low
29-01-2023 00:00,XXX13,131.45,8.99,Medium
29-01-2023 00:00,XXX13,78.19,11.76,Medium
29-01-2023 00:00,XXX11,61.82,11.06,Medium
29-01-2023 00:00,XXXV1,119.67,14.22,Low
29-01-2023 00:00,XXXV1,112.89,5.72,Medium
29-01-2023 00:00,XXX11,137.75,4.77,High
29-01-2023 00:00,XXX11,123.51,3.04,Medium
29-01-2023 00:00,XXX12,130.35,-1.93,Medium
29-01-2023 00:00,XXX15,78.2,6.45,Low
29-01-2023 00:00,XXXV1,67.74,0.54,Medium
29-01-2023 00:00,XXXV1,125.06,13.43,Low
29-01-2023 00:00,XXX11,130.68,6.66,Medium
29-01-2023 00:00,XXX11,149.05,6.86,High
29-01-2023 00:00,XXX11,91.26,2.1,High
29-01-2023 00:00,XXX11,87.2,-3.96,Low
29-01-2023 00:00,XXXV2,127.64,-4.37,Low
29-01-2023 00:00,XXXV2,84.08,3.47,Medium
29-01-2023 00:00,XXXV9,143.08,-3.31,Medium
29-01-2023 00:00,XXXV2,135.84,7.14,High
29-01-2023 00:00,XXXV2,92.9,12.62,Medium
30-01-2023 00:00,XXXV1,125.09,12.66,High
30-01-2023 00:00,XXXV1,125.45,8.18,Low
30-01-2023 00:00,XXXV2,60.31,-0.78,Medium
30-01-2023 00:00,XXXV2,140.26,12.26,Low
30-01-2023 00:00,XXXV2,100.53,12.72,Medium
30-01-2023 00:00,XXXV2,132.65,-1.07,High
30-01-2023 00:00,XXXV2,82,9.75,Low
30-01-2023 00:00,XXXV2,139.55,0.73,Low
30-01-2023 00:00,XXXV2,88.92,11.05,Medium
30-01-2023 00:00,XXXV2,51.08,14.94,Low
30-01-2023 00:00,XXXV5,140.54,-4.4,High
30-01-2023 00:00,XXXV5,59.13,12.95,Low
30-01-2023 00:00,XXX12,81.93,7.45,Low
30-01-2023 00:00,XXX12,145.01,14.47,Medium
30-01-2023 00:00,XXXV5,145.06,4.3,Low
30-01-2023 00:00,XXXV5,107.34,11.95,Medium
30-01-2023 00:00,XXXV3,113.18,-3.75,Medium
30-01-2023 00:00,XXXV3,94.84,1.71,Low
30-01-2023 00:00,XXXV1,79.32,-3.66,High
30-01-2023 00:00,XXX15,82.87,14.51,Medium
30-01-2023 00:00,XXX15,117.25,11.34,Low
30-01-2023 00:00,XXX12,125.24,12.05,Medium
30-01-2023 00:00,XXX11,129.16,13.76,High
30-01-2023 00:00,XXX11,128.96,-3.3,High
30-01-2023 00:00,XXXV2,59.12,2.71,Medium
30-01-2023 00:00,XXXV2,99.44,-3.58,High
30-01-2023 00:00,XXX11,55.76,-0.78,Low
30-01-2023 00:00,XXX11,104.95,-0.41,Low
30-01-2023 00:00,XXX11,94.15,4.38,Medium
30-01-2023 00:00,XXX11,138.77,0.37,High
30-01-2023 00:00,XXX11,85.09,-2.98,Low
30-01-2023 00:00,XXX11,61.71,-1.65,Low
08-02-2023 00:00,XXX12,64.3,-2.05,Low
09-02-2023 00:00,XXXV2,126.15,14.46,Medium
10-02-2023 00:00,XXXV3,111.82,10.19,Medium
10-02-2023 00:00,XXXV3,60.11,14.36,Low
11-02-2023 00:00,XXX12,58.41,3.79,Low
11-02-2023 00:00,XXXV1,120.1,0.57,High
11-02-2023 00:00,XXXV1,57.28,10.97,High
11-02-2023 00:00,XXXV5,132.19,1.53,High
11-02-2023 00:00,XXXV3,120.62,0.99,Medium
12-02-2023 00:00,XXXV1,58.13,-0.35,Low
12-02-2023 00:00,XXXV1,58.48,-2.41,Medium
12-02-2023 00:00,XXX17,148.66,0.13,Low
12-02-2023 00:00,XXXV3,87.43,2.11,High
13-02-2023 00:00,XXX12,87.06,8.48,High
13-02-2023 00:00,XXX12,131.28,-3.75,High
13-02-2023 00:00,XXXV3,144.72,-0.79,High
14-02-2023 00:00,XXX17,148.6,11.18,Low
14-02-2023 00:00,XXXV2,125.34,-2.06,High
14-02-2023 00:00,XXX12,87.63,1.85,Low
15-02-2023 00:00,XXXV1,58.35,12.29,Low
16-02-2023 00:00,XXXV2,127.71,-1.9,Medium
17-02-2023 00:00,XXX12,105.84,-3.35,High
17-02-2023 00:00,XXXV3,92.42,4.69,High
19-02-2023 00:00,XXXV2,140.64,1.05,Medium
20-02-2023 00:00,XXXV2,61.12,6.27,Low
20-02-2023 00:00,XXX15,99.26,11.08,High
21-02-2023 00:00,XXX11,51.14,-2.26,Low
21-02-2023 00:00,XXX12,96.87,6.61,Medium
22-02-2023 00:00,XXX12,55.63,5.11,Low
22-02-2023 00:00,XXX15,61.88,-2.12,High
23-02-2023 00:00,XXX11,61.75,7.48,Low
23-02-2023 00:00,XXX15,114.92,0.47,Low
23-02-2023 00:00,XXX15,124.6,4.76,High
28-02-2023 00:00,XXX15,108.34,-3.35,High
28-02-2023 00:00,XXXV2,146.22,4.19,Low
28-02-2023 00:00,XXXV2,87.49,1.13,Low
28-02-2023 00:00,XXXV4,78.57,11.45,Medium
28-02-2023 00:00,XXX12,136.86,-3.86,High
28-02-2023 00:00,XXX13,72.36,3.37,Low
28-02-2023 00:00,XXXV2,146.32,4.17,High
28-02-2023 00:00,XXXV1,51.22,9.5,Medium
28-02-2023 00:00,XXXV1,146.99,6.49,Low
28-02-2023 00:00,XXXV1,54.32,8.34,Low
28-02-2023 00:00,XXX12,139.11,10.54,Low
28-02-2023 00:00,XXX12,102.77,12.24,High
28-02-2023 00:00,XXX12,149.3,1.28,Medium
28-02-2023 00:00,XXX12,57.38,5.76,High
28-02-2023 00:00,XXX12,105.39,11.8,Low
28-02-2023 00:00,XXX12,146.93,14.79,Medium
28-02-2023 00:00,XXXV2,102.31,12.79,Low
28-02-2023 00:00,XXX12,112.94,2.43,Low
28-02-2023 00:00,XXX15,119.57,-1.1,High
28-02-2023 00:00,XXXV3,95.45,4.79,Low
28-02-2023 00:00,XXXV3,112.76,9.83,Medium
28-02-2023 00:00,XXXV2,108.43,4.85,Low
28-02-2023 00:00,XXX13,140.12,4.66,Low
28-02-2023 00:00,XXX13,54.54,11.76,High
28-02-2023 00:00,XXX13,78.1,2.23,Medium
28-02-2023 00:00,XXX13,145.04,12.2,High
28-02-2023 00:00,XXX13,139.03,3.14,Low
28-02-2023 00:00,XXX11,95.57,1.56,High
28-02-2023 00:00,XXX11,112.01,4.08,High
28-02-2023 00:00,XXX11,77.74,10.25,High
28-02-2023 00:00,XXXV4,68.81,-2.48,High
28-02-2023 00:00,XXXV1,96.37,-1.07,Low
28-02-2023 00:00,XXX13,85.34,14.03,Low
07-03-2023 00:00,XXXV1,108.37,-1.49,Medium
09-03-2023 00:00,XXX13,57.77,6.35,High
10-03-2023 00:00,XXX12,147.44,6.59,High
12-03-2023 00:00,XXXV4,148.62,4.79,Medium
